20950,24999,5205,16665,27351,8752,20570,13166,17131,9715
21841,22282,5847,27444,19133,3698,29654,27603,7763,16026
24797,12667,5980,9398,11555,31261,14684,15949,2017,157
14833,30607,17750,15819,3581,5096,29967,13716,20999,1237
11621,9338,4575,8951,12359,8513,13185,32102,19770,1771
2364,13127,9373,15079,20244,2977,12338,9094,5988,16236
13530,25262,27336,10731,416,10450,7993,21308,8185,13345
10874,2350,22858,20478,29620,31314,13739,26801,26717,1877
22507,1884,22621,16012,23252,18992,23924,13777,5040,11488
20950,13966,24076,13654,6681,28695,21691,22694,18001,9277
7198,11328,20090,544,8611,14185,28182,9028,29836,30956
25366,24295,7154,29964,5118,26514,3593,24510,24901,26351
11429,14101,9722,3034,27389,25086,11182,16058,175,10029
5517,28690,19973,4183,1742,13651,21879,3490,2126,10229
28273,27994,29047,15045,5462,31717,22631,31105,31940,24569
19790,26274,17434,1804,25880,27513,30519,13836,22349,3709
15237,4689,13109,25572,20023,14032,28735,27760,14286,10641
23971,22156,22754,17763,13639,21911,13343,27598,21984,896
6542,4937,26713,147,5909,1453,29816,17810,21058,25322
10431,23560,12100,15352,22928,28890,26938,23057,31637,29983
32689,1566,7519,16689,7527,25711,9293,28164,23637,14510
20656,22711,2797,9750,19756,1129,22177,16352,19810,20046
32676,32254,32715,10242,31220,27148,22247,19485,8088,6276
28056,8455,22566,16945,2760,15886,22921,4582,2130,18101
26113,31343,8480,4175,11115,10440,27281,17869,10179,26253
32029,32213,14055,178,4155,30484,11678,1652,3458,28372
9688,29839,24335,17873,24632,8370,32040,26440,24271,31024
32542,9810,7467,27896,13176,1392,2448,4039,845,7271
9093,20124,9458,4174,25490,18541,25046,20965,20553,7960
29609,5672,25731,21660,15556,15652,10988,2185,24517,6922
12994,10677,31353,22402,16857,28721,2048,22337,26595,13179
11819,25566,22254,28917,31273,1505,9518,5782,20579,17694
23549,26080,5028,17217,30752,786,18301,25769,16204,1182
12776,31610,3816,5853,16427,10477,2069,2050,13055,26859
15596,20557,22002,31707,17158,27265,17930,8888,20290,4247
2987,24934,16066,12468,3002,15174,12599,11865,5123,7688
6239,17369,1752,28352,24780,6161,27131,27964,6118,23635
23743,24981,13107,1699,14697,18437,23766,31782,26076,28408
26966,16343,6006,15206,23201,31100,3637,1887,5201,26841
2846,20200,9517,6435,1503,7941,18931,26807,26035,31511
3413,14604,16774,11368,10561,23270,27482,12293,3429,2765
19177,14028,12019,4542,19339,27589,1441,24096,24923,29878
23029,10489,27029,24817,18623,31586,27203,31345,8167,10297
29977,11557,30824,3605,12701,30860,12701,13695,21131,8066
12732,8031,31351,2650,4000,22452,21428,3884,2507,8328
24437,5232,28331,18724,16434,16844,23068,1408,845,13099
27695,23037,11766,25103,23849,28502,4428,14632,4815,25300
10692,1573,6881,26306,3535,15818,12005,18209,12215,17987
9509,9885,30410,15288,29435,1983,29627,25377,9292,30307
13381,16220,27731,25965,31249,31868,13216,5304,22746,9573
18272,4943,32719,22422,3550,12768,12857,26949,25674,31085
13149,13745,2490,31301,10660,948,15214,1843,15609,14999
26200,12533,29811,22827,4571,5615,5940,25365,26580,23073
5265,14442,32215,23383,14195,2940,17339,30111,10492,26867
15192,27648,1646,1567,23951,18793,3657,18828,20619,19944
10420,16855,21319,15388,20254,32449,592,6893,5925,130
22989,16250,25783,12640,6332,13139,1911,7551,27006,19177
18274,23803,29590,67,9394,25652,15022,26098,20226,11881
28378,17990,6068,30345,4641,17090,25488,29253,5946,1998
24493,17258,23955,26796,32149,4974,11928,30637,31396,3400
8241,28325,30385,10629,140,31644,24049,153,12062,17862
10775,6003,1764,16054,16064,23124,15855,5070,25871,14816
24095,21498,10900,7798,15151,7582,10099,9661,2545,26828
28610,24191,31963,16827,13362,30395,2499,1908,22002,4085
15591,719,29136,11729,15664,27038,9890,29408,26040,8744
6884,8122,6281,23257,1442,2125,11944,18999,16025,29556
10578,11032,6553,6348,2181,18706,4397,12483,27330,12596
1150,19185,23058,23283,3189,24236,27207,23911,11296,18902
3204,1208,24663,12794,15359,23507,21151,31639,26630,32353
13134,19388,16192,18169,32496,18389,16438,11668,13034,1989
13073,27202,13661,28213,28837,12316,29773,23339,6831,5242
3,27870,10587,30310,9391,17097,29194,31312,18258,30462
2897,28163,2523,16829,12869,10455,31376,31557,5366,15400
21168,28650,9785,2056,2135,14952,24235,2097,14241,6263
3826,27965,10002,28063,10054,22042,27446,26702,6193,15800
28036,32040,12434,28932,23176,11422,7400,8474,15170,18114
27597,26038,15817,8537,15297,17388,28979,29746,30249,3354
30905,20407,15255,10778,31255,25026,25932,9916,19250,31922
16380,4467,8957,5309,25553,846,20893,10120,19890,25642
17356,16884,7620,16167,21883,6203,7985,15192,14267,25661
32041,3263,28125,32276,18727,29048,9688,25326,13942,3892
28652,7708,12019,17641,6533,18534,9492,17608,12130,4514
18217,2672,27382,2181,30690,353,3855,5304,12306,28595
30645,22318,11698,30984,24917,25782,5161,19903,11039,3788
25035,23146,6316,11957,24223,2946,22244,9931,26725,31066
18463,3605,16343,4178,23434,14874,15152,2381,29645,6903
491,18021,8426,7600,13773,26589,12648,2244,11557,11606
24242,1796,8787,30534,6330,21668,31879,31911,13537,17043
5579,2284,1051,1032,8772,22073,5198,31326,7348,22483
8444,29473,23620,2262,30498,3177,14209,4902,20576,13158
22692,25255,26969,28989,10006,30897,22365,31250,27187,5054
24902,12902,2383,32614,24479,7844,3318,8334,26636,28918
17784,4572,18405,10589,15013,25710,4645,31745,18646,22731
17539,29126,3885,9241,18398,30495,4893,5521,20446,19751
15660,12337,24025,4334,4855,3248,27379,19728,21111,6071
32138,18829,21124,78,11729,3540,19607,27285,23994,18721
29652,15028,10266,5385,32072,3092,19208,18004,32111,10448
4485,16394,16121,5478,99,31952,30413,1203,19039,17013
31055,18462,20369,13257,21726,4115,11270,13486,30113,4275
6571,21617,13956,24265,10604,12890,893,6400,6046,4225
28948,12628,16282,2276,27938,27335,29355,6327,27865,24405
13867,30203,15364,8745,11496,25426,20880,21009,12237,30226
19788,12336,22974,664,749,3827,2755,8927,13909,11590
9833,2897,27925,20999,4453,8668,31024,15290,12923,2889
8482,14463,31390,8905,2336,31298,14425,4049,16802,31538
14957,28200,7967,1652,1468,15423,16151,14616,8805,960
